f='./input.txt'
Performing Design Space Exploration...
Total: 4059 rotations
Clicks: min=1, max=996
R17 Dial 50
L19 Dial 67
R24 Dial 48
R37 Dial 72
R29 Dial 9
R37 Dial 38
R35 Dial 75
R40 Dial 10
L7 Dial 50
L37 Dial 43
L45 Dial 6
R44 Dial 61
R2 Dial 5
R12 Dial 7
L44 Dial 19
R31 Dial 75
L29 Dial 6
R34 Dial 77
R9 Dial 11
R22 Dial 20
R44 Dial 42
R30 Dial 86
L22 Dial 16
R13 Dial 94
L3 Dial 7
R5 Dial 4
L43 Dial 9
R31 Dial 66
R47 Dial 97
R43 Dial 44
R11 Dial 87
R47 Dial 98
L34 Dial 45
L43 Dial 11
R40 Dial 68
R29 Dial 8
L4 Dial 37
L6 Dial 33
L25 Dial 27
R16 Dial 2
L12 Dial 18
R38 Dial 6
L41 Dial 44
R17 Dial 3
R45 Dial 20
L21 Dial 65
L8 Dial 44
L24 Dial 36
R6 Dial 12
L45 Dial 18
L33 Dial 73
L29 Dial 40
L67 Dial 11
L44 Dial 44
R62 Dial 0
R38 Dial 62
L86 Dial 0
L14 Dial 14
L69 Dial 0
R69 Dial 31
R26 Dial 0
R74 Dial 26
L33 Dial 0
R24 Dial 67
L80 Dial 91
L48 Dial 11
L96 Dial 63
L67 Dial 67
L93 Dial 0
R72 Dial 7
L79 Dial 79
L58 Dial 0
L66 Dial 42
R53 Dial 76
R56 Dial 29
R55 Dial 85
L40 Dial 40
R70 Dial 0
R91 Dial 70
R53 Dial 61
R69 Dial 14
R17 Dial 83
L61 Dial 0
R66 Dial 39
R91 Dial 5
L96 Dial 96
R47 Dial 0
L47 Dial 47
R41 Dial 0
L67 Dial 41
L93 Dial 74
R19 Dial 81
L88 Dial 0
R88 Dial 12
R33 Dial 0
L33 Dial 33
L71 Dial 0
R96 Dial 29
R75 Dial 25
L56 Dial 0
R69 Dial 44
L63 Dial 13
L50 Dial 50
L89 Dial 0
R85 Dial 11
L96 Dial 96
R95 Dial 0
R8 Dial 95
L88 Dial 3
R25 Dial 15
L17 Dial 40
R42 Dial 23
L10 Dial 65
L7 Dial 55
L48 Dial 48
R2 Dial 0
L574 Dial 2
L97 Dial 28
L93 Dial 31
R62 Dial 38
R19 Dial 0
R981 Dial 19
R6 Dial 0
L88 Dial 6
L118 Dial 18
L994 Dial 0
L57 Dial 6
L55 Dial 49
L68 Dial 94
L26 Dial 26
L105 Dial 0
R67 Dial 95
R81 Dial 62
L23 Dial 43
R80 Dial 20
R61 Dial 0
R47 Dial 61
L44 Dial 8
R56 Dial 64
L13 Dial 20
L67 Dial 7
L640 Dial 40
L63 Dial 0
L309 Dial 37
R44 Dial 28
R28 Dial 72
R795 Dial 0
L95 Dial 95
R83 Dial 0
L32 Dial 83
R49 Dial 51
R143 Dial 0
R919 Dial 43
L27 Dial 62
R801 Dial 35
L611 Dial 36
R66 Dial 25
R49 Dial 91
R854 Dial 40
R18 Dial 94
R88 Dial 12
L121 Dial 0
L80 Dial 79
R1 Dial 99
R84 Dial 0
R16 Dial 84
L64 Dial 0
R55 Dial 36
R909 Dial 91
L37 Dial 0
L338 Dial 63
R954 Dial 25
L79 Dial 79
R6 Dial 0
R16 Dial 6
L44 Dial 22
L78 Dial 78
R72 Dial 0
R28 Dial 72
R32 Dial 0
R968 Dial 32
L53 Dial 0
L74 Dial 47
R45 Dial 73
L370 Dial 18
L448 Dial 48
R858 Dial 0
L60 Dial 58
L5 Dial 98
L15 Dial 93
L478 Dial 78
L50 Dial 0
R550 Dial 50
R80 Dial 0
L30 Dial 80
R79 Dial 50
L29 Dial 29
L451 Dial 0
L99 Dial 49
L21 Dial 50
L29 Dial 29
R14 Dial 0
L214 Dial 14
L40 Dial 0
R39 Dial 60
L99 Dial 99
L8 Dial 0
R8 Dial 92
L90 Dial 0
R90 Dial 10
L57 Dial 0
L77 Dial 43
R34 Dial 66
L61 Dial 0
L55 Dial 39
R16 Dial 84
R80 Dial 0
L97 Dial 80
R69 Dial 83
L52 Dial 52
R40 Dial 0
L140 Dial 40
R75 Dial 0
L28 Dial 75
R53 Dial 47
L31 Dial 0
L56 Dial 69
L423 Dial 13
L590 Dial 90
R44 Dial 0
R86 Dial 44
R70 Dial 30
R30 Dial 0
L41 Dial 30
L7 Dial 89
R318 Dial 82
R27 Dial 0
L27 Dial 27
R99 Dial 0
L97 Dial 99
L31 Dial 2
R29 Dial 71
L864 Dial 0
R64 Dial 36
R39 Dial 0
L39 Dial 39
L77 Dial 0
R809 Dial 23
R68 Dial 32
L8 Dial 0
L92 Dial 92
L88 Dial 0
L912 Dial 12
L99 Dial 0
L55 Dial 1
R341 Dial 46
L953 Dial 87
L34 Dial 34
L16 Dial 0
L7 Dial 84
R123 Dial 77
L58 Dial 0
L42 Dial 42
R45 Dial 0
R77 Dial 45
L62 Dial 22
L572 Dial 60
R12 Dial 88
L823 Dial 0
R23 Dial 77
R23 Dial 0
L92 Dial 23
L31 Dial 31
L74 Dial 0
L226 Dial 26
L6 Dial 0
L190 Dial 94
R70 Dial 4
R63 Dial 74
L37 Dial 37
L468 Dial 0
R91 Dial 32
R152 Dial 23
R35 Dial 75
R49 Dial 10
R954 Dial 59
R15 Dial 13
L28 Dial 28
L60 Dial 0
L40 Dial 40
R15 Dial 0
L15 Dial 15
R4 Dial 0
R15 Dial 4
L3 Dial 19
L16 Dial 16
L868 Dial 0
L61 Dial 32
R949 Dial 71
R80 Dial 20
R95 Dial 0
R292 Dial 95
L521 Dial 87
L436 Dial 66
R88 Dial 30
R82 Dial 18
R42 Dial 0
L415 Dial 42
L14 Dial 27
L13 Dial 13
R46 Dial 0
L46 Dial 46
R973 Dial 0
R27 Dial 73
L73 Dial 0
L27 Dial 27
L22 Dial 0
R22 Dial 78
R74 Dial 0
L188 Dial 74
L30 Dial 86
R11 Dial 56
L32 Dial 67
R61 Dial 35
L63 Dial 96
R95 Dial 33
R48 Dial 28
R32 Dial 76
R92 Dial 8
R51 Dial 0
R305 Dial 51
L56 Dial 56
R12 Dial 0
R78 Dial 12
L90 Dial 90
R47 Dial 0
L47 Dial 47
R165 Dial 0
R35 Dial 65
R65 Dial 0
L65 Dial 65
R642 Dial 0
L91 Dial 42
L51 Dial 51
R5 Dial 0
R38 Dial 5
L126 Dial 43
L72 Dial 17
L48 Dial 45
R4 Dial 97
L12 Dial 1
R58 Dial 89
R53 Dial 47
L12 Dial 0
R12 Dial 88
L2 Dial 0
R34 Dial 98
R55 Dial 32
R79 Dial 87
R49 Dial 66
L26 Dial 15
L24 Dial 89
R35 Dial 65
L28 Dial 0
L98 Dial 72
R58 Dial 74
L57 Dial 32
R89 Dial 75
L64 Dial 64
R80 Dial 0
R65 Dial 80
L88 Dial 45
L99 Dial 57
L58 Dial 58
R80 Dial 0
L80 Dial 80
R92 Dial 0
L10 Dial 92
L71 Dial 82
R89 Dial 11
R36 Dial 0
R64 Dial 36
L54 Dial 0
L68 Dial 46
L66 Dial 78
L12 Dial 12
R63 Dial 0
L963 Dial 63
L98 Dial 0
R98 Dial 2
L10 Dial 0
L66 Dial 90
R78 Dial 24
L4 Dial 2
R18 Dial 98
L94 Dial 16
R38 Dial 22
R140 Dial 60
R7 Dial 0
L7 Dial 7
R591 Dial 0
L84 Dial 91
R93 Dial 7
L363 Dial 0
R63 Dial 37
R47 Dial 0
L47 Dial 47
L767 Dial 0
L33 Dial 33
R42 Dial 0
L74 Dial 42
L73 Dial 68
R5 Dial 95
R7 Dial 0
L55 Dial 7
R48 Dial 52
L924 Dial 0
R30 Dial 76
L6 Dial 6
R47 Dial 0
R53 Dial 47
L94 Dial 0
R174 Dial 6
L680 Dial 80
R8 Dial 0
R6 Dial 8
L90 Dial 14
L69 Dial 24
L82 Dial 55
R759 Dial 73
R57 Dial 32
R81 Dial 89
L72 Dial 70
R82 Dial 98
L69 Dial 80
L11 Dial 11
R32 Dial 0
R1 Dial 32
R67 Dial 33
L71 Dial 0
L70 Dial 29
R841 Dial 59
R66 Dial 0
L732 Dial 66
L34 Dial 34
L71 Dial 0
R35 Dial 29
R72 Dial 64
R64 Dial 36
R30 Dial 0
R81 Dial 30
R89 Dial 11
L59 Dial 0
R60 Dial 41
L1 Dial 1
R18 Dial 0
L74 Dial 18
L544 Dial 44
L344 Dial 0
L85 Dial 56
R14 Dial 71
L55 Dial 85
L730 Dial 30
L84 Dial 0
L48 Dial 16
R53 Dial 68
L21 Dial 21
L1 Dial 0
R86 Dial 99
R29 Dial 85
L14 Dial 14
L27 Dial 0
R589 Dial 73
R80 Dial 62
R21 Dial 42
R33 Dial 63
R54 Dial 96
L338 Dial 50
L912 Dial 12
R33 Dial 0
R67 Dial 33
L65 Dial 0
R19 Dial 35
R83 Dial 54
R41 Dial 37
L51 Dial 78
R79 Dial 27
R33 Dial 6
